phage,host,class,dataset,morphology,concentration
KX831080,NZ_KV917376,0,train,Siphoviridae,0.001
MK310146,CP027541,1,train,Siphoviridae,0.001
MH632120,CP027116,0,train,Podoviridae,0.001
MH001459,CP026337,0,train,Myoviridae,0.001
MF919515,CP012196,0,train,Siphoviridae,0.001
MK376957,NZ_CP029604,1,train,Siphoviridae,0.001
NC_021327,CP023044,0,train,Siphoviridae,0.001
KR080199,CP027541,1,train,Podoviridae,0.001
MH171093,AP009493,1,train,Podoviridae,0.001
KX657793,CP027541,1,train,Myoviridae,0.001
KX752698,CP027541,1,train,Myoviridae,0.001
NC_011292,CP027541,1,train,Podoviridae,0.001
MG099939,NZ_CP029604,1,train,Podoviridae,0.001
JF957058,NZ_MSEI01000003,0,train,Myoviridae,0.001
NC_009904,NZ_OCQN01000001,0,train,Myoviridae,0.001
MH536816,CP027541,1,train,Podoviridae,0.001
NC_008799,NZ_CP023560,1,train,Siphoviridae,0.001
JN185608,CP027541,1,train,Myoviridae,0.001
MF919525,CP027541,1,train,Myoviridae,0.001
NC_025460,NZ_CM002803,0,train,Podoviridae,0.001
NC_022062,CP018657,0,train,Siphoviridae,0.001
MK279886,NZ_CP018725,0,train,Myoviridae,0.001
KR080193,KY464958,0,train,Podoviridae,0.001
MK359300,NZ_LT571449,0,train,Myoviridae,0.001
NC_017978,CP019576,1,train,Siphoviridae,0.001
MF185726,CP027541,1,train,Myoviridae,0.001
JF937109,NZ_QEOC01000001,0,train,Siphoviridae,0.001
NC_013645,LS483339,1,train,Podoviridae,0.001
NC_028696,CP030026,1,train,Myoviridae,0.001
JF937094,NZ_UFTQ01000001,0,train,Siphoviridae,0.001
KU963249,CP022298,0,train,Podoviridae,0.001
MH976511,NZ_CP029604,1,train,Myoviridae,0.001
MF541405,NZ_OCQN01000001,1,train,Podoviridae,0.001
KY676783,CP027541,1,train,Myoviridae,0.001
NC_001271,CP012196,0,train,Podoviridae,0.001
MF185724,LC361338,1,train,Siphoviridae,0.001
NC_028947,NC_014640,0,train,Podoviridae,0.001
NC_007189,CP020809,0,train,Siphoviridae,0.001
NC_011271,CP027541,1,train,Podoviridae,0.001
MF919539,CP027541,1,train,Podoviridae,0.001
KM881426,NZ_UFTQ01000001,0,train,Myoviridae,0.001
MH513971,CP027541,1,train,Myoviridae,0.001
MH316566,NZ_CP029604,1,train,Siphoviridae,0.001
KX620750,CP030279,1,train,Myoviridae,0.001
MK305888,CP012196,0,train,Siphoviridae,0.001
KX443696,CP027541,1,train,Myoviridae,0.001
KU963262,NZ_AOLR01000018,0,train,Myoviridae,0.001
NC_019527,MH841968,0,train,Podoviridae,0.001
MH271317,CP012196,0,train,Podoviridae,0.001
MH834626,CP019892,1,train,Myoviridae,0.001
MH020235,NZ_FOYN01000001,0,train,Podoviridae,0.001
NC_016652,NZ_CM001149,1,train,Siphoviridae,0.001
MG925351,CP011458,0,train,Podoviridae,0.001
NC_019930,NZ_HF571038,1,train,Siphoviridae,0.001
MK524526,CP027541,1,train,Myoviridae,0.001
NC_031064,NZ_CM007353,1,train,Myoviridae,0.001
MK279901,NZ_LK391965,0,train,Myoviridae,0.001
MK376959,LC361338,0,train,Myoviridae,0.001
NC_023697,CP027541,1,train,Podoviridae,0.001
KM347890,CP030026,0,train,Myoviridae,0.001
MF140432,CP014201,0,train,Myoviridae,0.001
KY464936,CP027541,1,train,Podoviridae,0.001
NC_002661,CP023483,0,train,Myoviridae,0.001
NC_028750,NZ_UWXU01000001,1,train,Siphoviridae,0.001
MK061409,CP027541,1,train,Myoviridae,0.001
MH155873,AP018216,0,train,Podoviridae,0.001
NC_028757,CP027541,1,train,Podoviridae,0.001
MF324911,CP032410,0,train,Podoviridae,0.001
NC_003315,MH400164,0,train,Myoviridae,0.001
JF704112,CP027541,1,train,Myoviridae,0.001
MF919542,NZ_UHFO01000001,0,train,Myoviridae,0.001
NC_005284,NZ_KN150939,1,train,Myoviridae,0.001
MH834596,NZ_KI421518,0,train,Siphoviridae,0.001
JF704093,CP027541,1,train,Podoviridae,0.001
NC_018083,CP019576,1,train,Myoviridae,0.001
NC_019512,CP021694,0,train,Myoviridae,0.001
MH316570,CP027541,1,train,Podoviridae,0.001
NC_030934,MTZF01000001,1,train,Siphoviridae,0.001
MF189176,PDLE01000004,0,train,Myoviridae,0.001
NC_027118,CP012196,0,train,Podoviridae,0.001
NC_022976,CP027541,1,train,Siphoviridae,0.001
MF140408,NZ_DF968533,0,train,Myoviridae,0.001
JN699003,CP021694,0,train,Myoviridae,0.001
MK359299,POWA01000006,0,train,Siphoviridae,0.001
MF919497,CP027541,1,train,Myoviridae,0.001
NC_015294,CP012196,0,train,Podoviridae,0.001
MF919500,CP027541,1,train,Podoviridae,0.001
KU998248,NZ_MIGA01000001,0,train,Podoviridae,0.001
MF140429,NZ_PETF01000001,0,train,Siphoviridae,0.001
KT895280,CP027541,1,train,Myoviridae,0.001
MK016500,QLNP01000098,1,train,Siphoviridae,0.001
MK359334,NZ_KN046795,0,train,Podoviridae,0.001
MH399782,CP027541,1,train,Myoviridae,0.001
MH399779,NZ_LT629770,1,train,Podoviridae,0.001
NC_012696,NVUC01000001,1,train,Myoviridae,0.001
NC_024785,CP009257,1,train,Podoviridae,0.001
NC_022324,CP027541,1,train,Myoviridae,0.001
NC_019422,NZ_FLYG01000003,0,train,Myoviridae,0.001
JX649096,CP027541,1,train,Myoviridae,0.001
MF919517,CP027541,1,train,Myoviridae,0.001
KU761559,CP031422,0,train,Myoviridae,0.001
NC_023742,CP027541,1,train,Myoviridae,0.001
NC_013756,CP012196,0,train,Siphoviridae,0.001
KX756439,CP027541,1,train,Podoviridae,0.001
NC_008197,CP027541,1,train,Myoviridae,0.001
NC_023718,CP020369,1,train,Siphoviridae,0.001
NC_019914,CP020358,0,train,Podoviridae,0.001
NC_019518,CP012196,0,train,Siphoviridae,0.001
NC_007065,NZ_CP023560,1,train,Myoviridae,0.001
MK284520,NZ_JNYC01000004,0,train,Siphoviridae,0.001
MG839020,NZ_KV917376,0,train,Podoviridae,0.001
JN083852,NZ_JMSZ01000016,0,train,Myoviridae,0.001
KF188414,CP027541,1,train,Podoviridae,0.001
JF792674,NZ_FNSA01000003,0,train,Podoviridae,0.001
MG839014,CP027541,1,train,Myoviridae,0.001
NC_003715,MTZF01000001,1,train,Siphoviridae,0.001
MF668270,CP020358,0,train,Podoviridae,0.001
NC_012419,CP011102,0,train,Myoviridae,0.001
NC_020083,CP012196,0,train,Siphoviridae,0.001
NC_001884,CP012196,0,train,Siphoviridae,0.001
MH450113,CP027541,1,train,Podoviridae,0.001
NC_022769,CP012196,0,train,Siphoviridae,0.001
MG925338,CP014475,1,train,Siphoviridae,0.001
MF919529,CP012831,0,train,Siphoviridae,0.001
KY012363,NZ_BCTM01000001,0,train,Myoviridae,0.001
KX344445,AP009493,1,train,Myoviridae,0.001
MH077583,CP027541,1,train,Myoviridae,0.001
NC_023725,CP027541,1,train,Siphoviridae,0.001
MF155936,CP029620,0,train,Siphoviridae,0.001
NC_023600,CP027541,1,train,Myoviridae,0.001
MH316569,NZ_CP023484,0,train,Podoviridae,0.001
NC_013648,MH286069,0,train,Podoviridae,0.001
MH744418,NZ_CM001889,1,train,Myoviridae,0.001
MK359365,CP027541,1,train,Podoviridae,0.001
JF704099,CP027541,1,train,Podoviridae,0.001
KU998243,NC_016776,0,train,Podoviridae,0.001
NC_028998,CP012196,0,train,Myoviridae,0.001
NC_022753,NZ_ATTH01000001,0,train,Siphoviridae,0.001
NC_031267,CP020369,0,train,Siphoviridae,0.001
NC_018285,CP020451,1,train,Siphoviridae,0.001
KU578077,CP027541,1,train,Siphoviridae,0.001
NC_021324,CP019576,0,train,Podoviridae,0.001
KX721255,NZ_CP023484,0,train,Myoviridae,0.001
NC_028897,NZ_JXYE01000002,0,train,Siphoviridae,0.001
NC_028926,CP022674,1,train,Podoviridae,0.001
MK279887,NZ_GG657757,0,train,Siphoviridae,0.001
NC_020080,NC_010163,0,train,Siphoviridae,0.001
NC_001697,CP022580,0,train,Siphoviridae,0.001
KR063278,NZ_LT629758,0,train,Podoviridae,0.001
KX576647,CP029760,0,train,Myoviridae,0.001
JN572061,CP024679,0,train,Podoviridae,0.001
MF541404,AP009493,1,train,Myoviridae,0.001
NC_028971,CP012196,0,train,Myoviridae,0.001
NC_005294,NZ_UHFW01000006,1,train,Podoviridae,0.001
NC_028744,CP020557,0,train,Podoviridae,0.001
NC_031265,NZ_CP029604,1,train,Myoviridae,0.001
NC_023696,CP027541,1,train,Podoviridae,0.001
NC_017971,CP012196,0,train,Podoviridae,0.001
NC_020158,NZ_FNOF01000001,1,train,Podoviridae,0.001
KT281792,CP027541,1,train,Myoviridae,0.001
MF140431,LC361338,1,train,Podoviridae,0.001
MF541407,LS483339,0,train,Podoviridae,0.001
NC_028835,NZ_FLYG01000003,0,train,Siphoviridae,0.001
NC_029009,NZ_UGJA01000003,1,train,Myoviridae,0.001
KY549152,CP027541,1,train,Podoviridae,0.001
NC_022053,CP027541,1,train,Siphoviridae,0.001
KM597531,CP027541,1,train,Siphoviridae,0.001
MK359365,NZ_AEUD01000001,0,train,Podoviridae,0.001
NC_010392,AP014565,1,train,Myoviridae,0.001
MG663584,AP009493,1,train,Siphoviridae,0.001
MF140423,LC361338,1,train,Myoviridae,0.001
NC_024386,CP026100,0,train,Podoviridae,0.001
NC_031045,NZ_LT629758,0,train,Siphoviridae,0.001
MH271308,CP019892,1,train,Siphoviridae,0.001
MH669008,CP027541,1,train,Myoviridae,0.001
NC_028862,CP006870,0,train,Myoviridae,0.001
NC_014461,CP027541,1,train,Myoviridae,0.001
KX670790,NZ_DF968533,1,train,Siphoviridae,0.001
MH479917,NZ_CP029604,1,train,Myoviridae,0.001
NC_009884,NZ_CP029289,1,train,Siphoviridae,0.001
NC_028854,NZ_NGMG01000001,0,train,Myoviridae,0.001
NC_028784,NZ_KN046823,0,train,Myoviridae,0.001
NC_019929,SDYW01000001,0,train,Podoviridae,0.001
NC_004902,CP012196,0,train,Siphoviridae,0.001
MH450116,CP027541,1,train,Siphoviridae,0.001
MH399771,CP027541,1,train,Podoviridae,0.001
NC_010495,CP020928,0,train,Podoviridae,0.001
MF038791,LC361338,1,train,Podoviridae,0.001
JF937109,CP027541,1,train,Siphoviridae,0.001
NC_015297,NZ_UFTK01000001,0,train,Siphoviridae,0.001
NC_024391,NZ_CP023560,1,train,Myoviridae,0.001
NC_031072,NZ_CP029604,1,train,Podoviridae,0.001
NC_019914,CP014567,1,train,Podoviridae,0.001
MF140415,NZ_UFTK01000001,0,train,Siphoviridae,0.001
MH727556,CP029760,0,train,Podoviridae,0.001
KT246485,CP024679,0,train,Podoviridae,0.001
MH155879,NZ_CM001889,0,train,Podoviridae,0.001
NC_019929,NZ_NQJM01000001,1,train,Podoviridae,0.001
NC_031076,CP006870,0,train,Siphoviridae,0.001
NC_030698,NZ_CM002276,0,train,Myoviridae,0.001
NC_004688,CP020809,1,train,Siphoviridae,0.001
MK524506,CP027541,1,train,Siphoviridae,0.001
KY204244,CP027541,1,train,Siphoviridae,0.001
MH727544,CP020369,0,train,Siphoviridae,0.001
KT591490,NZ_ALPT02000001,0,train,Podoviridae,0.001
MK524490,CP027541,1,train,Podoviridae,0.001
MG099943,CP027541,1,train,Siphoviridae,0.001
MF324901,QUAI01000001,1,train,Podoviridae,0.001
NC_028775,QMJJ01000001,0,train,Siphoviridae,0.001
NC_004683,CP024710,0,train,Siphoviridae,0.001
NC_022330,CP027541,1,train,Myoviridae,0.001
MK359346,CP027541,1,train,Myoviridae,0.001
KU160667,LC361338,1,train,Podoviridae,0.001
NC_024140,CP012196,0,train,Myoviridae,0.001
MH697578,CP027541,1,train,Podoviridae,0.001
MK524489,NZ_AEUT02000001,0,train,Siphoviridae,0.001
MH926056,CP012196,0,train,Siphoviridae,0.001
NC_031263,NZ_CM001149,0,train,Myoviridae,0.001
NC_011019,RKJP01000005,0,train,Myoviridae,0.001
KM923971,CP027541,1,train,Podoviridae,0.001
NC_020873,CP012196,0,train,Podoviridae,0.001
MH669002,CP027541,1,train,Myoviridae,0.001
KX670813,CP022580,0,train,Myoviridae,0.001
NC_031249,NZ_UWXU01000001,0,train,Myoviridae,0.001
JN116823,NZ_CM001149,1,train,Siphoviridae,0.001
KC661271,CP014013,0,train,Myoviridae,0.001
NC_000896,MH286069,0,train,Myoviridae,0.001
NC_023709,CP025430,0,train,Siphoviridae,0.001
NC_011801,NZ_OCQN01000001,0,train,Podoviridae,0.001
MK112539,CP027541,1,train,Podoviridae,0.001
MH834606,QLNP01000098,1,train,Siphoviridae,0.001
NC_004684,CP020809,1,train,Myoviridae,0.001
KR063281,NZ_FNRZ01000004,1,train,Podoviridae,0.001
NC_029000,LT906480,1,train,Myoviridae,0.001
NC_031925,NZ_FNOF01000001,0,train,Myoviridae,0.001
NC_031924,NZ_JXYE01000002,0,train,Siphoviridae,0.001
MH271319,QUAI01000001,1,train,Myoviridae,0.001
NC_021312,CP012196,0,train,Siphoviridae,0.001
NC_022331,LC361338,0,train,Myoviridae,0.001
NC_031085,CP032523,1,train,Siphoviridae,0.001
MH045569,CP020567,0,train,Podoviridae,0.001
NC_004664,AL645882,1,train,Siphoviridae,0.001
NC_026583,CP027541,1,train,Myoviridae,0.001
NC_028933,CP012196,0,train,Podoviridae,0.001
NC_001909,NZ_AOLR01000018,0,train,Myoviridae,0.001
KT880194,CP032627,0,train,Myoviridae,0.001
KU160652,PDLE01000004,0,train,Siphoviridae,0.001
NC_028941,CP027541,1,train,Myoviridae,0.001
KP027208,CP027541,1,train,Siphoviridae,0.001
KU647626,LC361338,1,train,Siphoviridae,0.001
MF185724,NZ_FNOF01000001,0,train,Siphoviridae,0.001
NC_031271,CP019236,0,train,Siphoviridae,0.001
NC_015252,CP025430,0,train,Podoviridae,0.001
NC_019539,NZ_AEUT02000001,0,train,Myoviridae,0.001
MG944219,CP019892,1,train,Siphoviridae,0.001
MF541405,SIMC01000001,0,train,Podoviridae,0.001
KX683293,NZ_JNIU01000001,0,train,Myoviridae,0.001
NC_019496,NZ_JNIU01000001,0,train,Myoviridae,0.001
NC_001447,NC_010163,1,train,Siphoviridae,0.001
JX649098,CP022298,0,train,Siphoviridae,0.001
MH479920,CP027541,1,train,Myoviridae,0.001
NC_023500,NZ_CP023560,1,train,Siphoviridae,0.001
MH338235,CP013922,0,train,Myoviridae,0.001
NC_015296,CP030026,1,train,Siphoviridae,0.001
MF919524,CP027541,1,train,Podoviridae,0.001
NC_001629,NZ_CP029604,0,train,Podoviridae,0.001
MH834627,QLNP01000098,1,train,Myoviridae,0.001
NC_004678,NZ_CP023560,1,train,Siphoviridae,0.001
NC_008203,CP027541,1,train,Podoviridae,0.001
MK305891,AP009493,1,train,Siphoviridae,0.001
MK524498,CP027541,1,train,Podoviridae,0.001
MK279856,PDLE01000004,0,train,Myoviridae,0.001
KX808131,CP027541,1,train,Podoviridae,0.001
NC_024791,CP012196,0,train,Siphoviridae,0.001
NC_023745,CP027541,1,train,Podoviridae,0.001
KM400683,CP027541,1,train,Podoviridae,0.001
NC_020853,MF925712,0,train,Siphoviridae,0.001
NC_031065,CP012598,1,train,Myoviridae,0.001
NC_020858,NVUC01000001,1,train,Podoviridae,0.001
KR997933,CP027541,1,train,Siphoviridae,0.001
NC_005135,CP022426,1,train,Myoviridae,0.001
NC_027293,CP024679,1,train,Siphoviridae,0.001
NC_026604,NZ_QEKR01000001,0,train,Myoviridae,0.001
MH590597,CP012598,0,train,Siphoviridae,0.001
NC_030918,CP012196,0,train,Siphoviridae,0.001
MH271291,QUAI01000001,1,train,Podoviridae,0.001
MH316567,NZ_UFTK01000001,0,train,Podoviridae,0.001
NC_021348,NZ_FNLM01000034,0,train,Siphoviridae,0.001
JN408459,CP027541,1,train,Myoviridae,0.001
NC_023503,LS483339,1,train,Siphoviridae,0.001
MG198780,CP012196,0,train,Podoviridae,0.001
MH590592,CP027541,1,train,Podoviridae,0.001
MG925355,CP027541,1,train,Myoviridae,0.001
MH834619,QLNP01000098,1,train,Siphoviridae,0.001
MK310146,CP030279,0,train,Siphoviridae,0.001
MG099953,CP027541,1,train,Podoviridae,0.001
NC_008205,CP020809,1,train,Myoviridae,0.001
KY471268,NZ_CP029604,1,train,Podoviridae,0.001
NC_010576,NZ_CM007353,1,train,Siphoviridae,0.001
NC_019411,CP023315,1,train,Myoviridae,0.001
NC_011272,CP027541,1,train,Myoviridae,0.001
MH651189,NZ_CP029604,1,train,Myoviridae,0.001
NC_022979,CP027541,1,train,Siphoviridae,0.001
NC_005822,NZ_CM007353,1,train,Myoviridae,0.001
MK061407,CP027541,1,train,Siphoviridae,0.001
MH020245,CP019892,0,train,Podoviridae,0.001
NC_026595,NZ_LT629739,0,train,Siphoviridae,0.001
KU963262,NZ_CP029604,1,train,Myoviridae,0.001
MH045555,CP029620,0,train,Podoviridae,0.001
MK433271,AP009493,1,train,Myoviridae,0.001
MH910041,NZ_JMSZ01000016,0,train,Myoviridae,0.001
NC_028758,CP020557,1,train,Myoviridae,0.001
MH576952,LC361338,1,train,Siphoviridae,0.001
NC_028842,CP027541,1,train,Siphoviridae,0.001
MG839026,CP019892,1,train,Siphoviridae,0.001
NC_028852,SIMC01000001,0,train,Podoviridae,0.001
KY965065,CP024710,0,train,Siphoviridae,0.001
NC_031043,MF925712,0,train,Podoviridae,0.001
MK524495,NZ_FODB01000001,0,train,Podoviridae,0.001
NC_019916,CP012196,0,train,Myoviridae,0.001
JN699003,CP026337,0,train,Myoviridae,0.001
NC_019918,CP012196,0,train,Siphoviridae,0.001
MH450121,LC361338,1,train,Siphoviridae,0.001
NC_023739,CP027541,1,train,Siphoviridae,0.001
KX664455,AP018216,0,train,Myoviridae,0.001
MF189179,QUAI01000001,1,train,Podoviridae,0.001
MH045560,CP033337,0,train,Myoviridae,0.001
MH576948,CP020451,0,train,Myoviridae,0.001
MH001460,NZ_CM001889,1,train,Myoviridae,0.001
NC_020879,NZ_LT629758,0,train,Podoviridae,0.001
NC_029120,CP032523,1,train,Podoviridae,0.001
MH834597,LC361338,1,train,Myoviridae,0.001
NC_027204,NZ_UZVX01000004,0,train,Podoviridae,0.001
NC_016435,CP022580,1,train,Podoviridae,0.001
MF324899,CP027116,0,train,Myoviridae,0.001
MK359306,CP027541,1,train,Siphoviridae,0.001
KY204249,CP027541,1,train,Podoviridae,0.001
NC_009990,CP020809,0,train,Myoviridae,0.001
NC_008694,RKJP01000005,1,train,Myoviridae,0.001
NC_018281,NZ_LT571449,1,train,Myoviridae,0.001
NC_018850,NZ_CP023560,0,train,Podoviridae,0.001
JN020141,CP027541,1,train,Siphoviridae,0.001
NC_003299,NZ_LT897825,0,train,Siphoviridae,0.001
MH271312,CP014038,0,train,Podoviridae,0.001
NC_022069,CP027541,1,train,Siphoviridae,0.001
NC_029072,NZ_CCKZ01000001,1,train,Podoviridae,0.001
KP027203,CP027541,1,train,Podoviridae,0.001
MH001455,CP027541,1,train,Podoviridae,0.001
NC_011267,CP032410,0,train,Myoviridae,0.001
NC_022096,CP012196,0,train,Podoviridae,0.001
MH910039,CP027541,1,train,Siphoviridae,0.001
KU958700,CP012196,0,train,Podoviridae,0.001
MK359358,NZ_KV917376,0,train,Myoviridae,0.001
NC_031274,CP012196,0,train,Myoviridae,0.001
NC_023709,NVUC01000001,0,train,Siphoviridae,0.001
MF324904,MH841968,0,train,Myoviridae,0.001
NC_031933,CP030026,1,train,Myoviridae,0.001
MG099934,NZ_MIGA01000001,0,train,Siphoviridae,0.001
KY204248,CP027541,1,train,Myoviridae,0.001
NC_015271,CP030026,1,train,Myoviridae,0.001
KX579975,NZ_MIGA01000001,0,train,Podoviridae,0.001
NC_023688,NZ_KI421518,0,train,Siphoviridae,0.001
NC_022791,CP022298,0,train,Myoviridae,0.001
NC_021062,NZ_LK391965,0,train,Podoviridae,0.001
KX817175,CP027541,1,train,Podoviridae,0.001
NC_028668,NZ_FNLM01000034,0,train,Podoviridae,0.001
KM101119,MTZF01000001,0,train,Podoviridae,0.001
MG925347,CP019892,1,train,Siphoviridae,0.001
MG670586,CP019892,1,train,Myoviridae,0.001
NC_028772,LR134235,1,train,Siphoviridae,0.001
NC_031070,CP012196,0,train,Podoviridae,0.001
NC_031020,NZ_CCKZ01000001,0,train,Siphoviridae,0.001
MH590598,NZ_KE356190,0,train,Podoviridae,0.001
MH651182,NZ_CP029604,1,train,Podoviridae,0.001
NC_012784,NZ_CM001153,0,train,Siphoviridae,0.001
MK433259,CP013922,0,train,Myoviridae,0.001
MH834620,QLNP01000098,1,train,Podoviridae,0.001
NC_028878,CP032627,0,train,Podoviridae,0.001
NC_008206,CP027541,1,train,Podoviridae,0.001
KR997934,CP027541,1,train,Siphoviridae,0.001
MH576961,LC361338,1,train,Myoviridae,0.001
NC_013599,CP009885,1,train,Siphoviridae,0.001
MH155871,CP027541,1,train,Siphoviridae,0.001
NC_028966,NC_014640,0,train,Siphoviridae,0.001
NC_026595,CP027541,1,train,Siphoviridae,0.001
NC_030698,NZ_CP029604,1,train,Myoviridae,0.001
NC_031035,CP027541,1,train,Siphoviridae,0.001
NC_019508,CP019576,1,train,Myoviridae,0.001
KR337643,CP012196,0,train,Siphoviridae,0.001
MK310142,CP027541,1,train,Myoviridae,0.001
MK376955,CP027541,1,train,Podoviridae,0.001
NC_007058,NZ_CP023560,1,train,Podoviridae,0.001
KR347353,CP012196,0,train,Myoviridae,0.001
KT355474,MF925712,0,train,Podoviridae,0.001
MF140397,LC361338,1,train,Siphoviridae,0.001
MK112526,CP032788,0,train,Siphoviridae,0.001
NC_022754,NZ_UHFO01000001,0,train,Podoviridae,0.001
MK359330,CP027541,1,train,Siphoviridae,0.001
MH371123,LT906480,0,train,Myoviridae,0.001
MH045565,CP019892,1,train,Podoviridae,0.001
NC_028980,CP012196,0,train,Siphoviridae,0.001
MH479919,NZ_HF571038,0,train,Podoviridae,0.001
NC_021868,NZ_UHFW01000006,1,train,Podoviridae,0.001
NC_031002,NZ_CM007353,1,train,Myoviridae,0.001
MH834596,LR134359,0,train,Siphoviridae,0.001
MK279868,LC361338,1,train,Myoviridae,0.001
NC_031251,CP022580,0,train,Siphoviridae,0.001
KY385381,CP027541,1,train,Myoviridae,0.001
MK359305,CP027541,1,train,Podoviridae,0.001
NC_004680,CP023315,0,train,Myoviridae,0.001
NC_024362,CP021427,0,train,Podoviridae,0.001
NC_028799,CP012196,0,train,Podoviridae,0.001
NC_022764,CP022674,1,train,Myoviridae,0.001
NC_011267,CP027541,1,train,Myoviridae,0.001
MK524503,CP027541,1,train,Siphoviridae,0.001
KX557278,NZ_CP029604,1,train,Myoviridae,0.001
NC_022982,CP009885,1,train,Podoviridae,0.001
NC_028934,CP027541,1,train,Podoviridae,0.001
KY965065,NZ_KN150799,0,train,Siphoviridae,0.001
NC_031264,NZ_ADEZ01000001,1,train,Podoviridae,0.001
MH399776,NBTS02000002,0,train,Myoviridae,0.001
NC_009234,NZ_KE356190,0,train,Siphoviridae,0.001
MH513978,NZ_AOLH01000002,0,train,Siphoviridae,0.001
NC_021538,NZ_GL545251,0,train,Podoviridae,0.001
JF937094,LR134235,0,train,Siphoviridae,0.001
MK279896,LC361338,1,train,Podoviridae,0.001
KR347354,CP012196,0,train,Siphoviridae,0.001
JF957059,NZ_FOYN01000001,0,train,Myoviridae,0.001
MH271320,NZ_CM002803,0,train,Podoviridae,0.001
MH976506,NZ_CP029604,1,train,Myoviridae,0.001
NC_003327,CP012196,0,train,Podoviridae,0.001
MK450424,CP027541,1,train,Podoviridae,0.001
JF937103,MH286069,0,train,Siphoviridae,0.001
NC_023578,CP027541,1,train,Myoviridae,0.001
NC_031018,CP024679,1,train,Siphoviridae,0.001
MH727547,NZ_CP029604,1,train,Podoviridae,0.001
MH697587,CP028813,0,train,Myoviridae,0.001
NC_002666,NZ_CM007353,1,train,Myoviridae,0.001
NC_028846,CP022298,0,train,Myoviridae,0.001
MF373840,CP027541,1,train,Podoviridae,0.001
KT372002,QUAI01000001,1,train,Siphoviridae,0.001
NC_004688,CP027541,1,train,Siphoviridae,0.001
KT281795,QOUU01000001,0,train,Myoviridae,0.001
MG812494,CP027541,1,train,Siphoviridae,0.001
NC_027372,CP022674,1,train,Myoviridae,0.001
NC_023009,NZ_CP023560,1,train,Podoviridae,0.001
JF957056,CP027541,1,train,Myoviridae,0.001
MF185729,CP024902,0,train,Podoviridae,0.001
NC_003345,NJFC02000001,0,train,Siphoviridae,0.001
NC_024387,CP027029,1,train,Podoviridae,0.001
KU998238,NZ_AGBZ02000001,0,train,Podoviridae,0.001
NC_028885,CP012196,0,train,Myoviridae,0.001
MK305885,NZ_CP018725,0,train,Podoviridae,0.001
MG518519,NZ_JMSZ01000016,0,train,Podoviridae,0.001
NC_024356,NZ_NGMG01000001,1,train,Podoviridae,0.001
MG812491,NZ_AOLR01000018,0,train,Myoviridae,0.001
MH171095,NZ_AOJL01000060,0,train,Siphoviridae,0.001
MH834623,QLNP01000098,1,train,Siphoviridae,0.001
MG770213,CP027541,1,train,Siphoviridae,0.001
MF140425,LC361338,1,train,Podoviridae,0.001
MF185722,CP027116,0,train,Myoviridae,0.001
MG925341,CP029449,0,train,Siphoviridae,0.001
MK524530,NZ_SAUP01000001,0,train,Siphoviridae,0.001
KT959213,QUAI01000001,1,train,Siphoviridae,0.001
MK112555,CP027541,1,train,Podoviridae,0.001
NC_031013,NZ_CM007353,1,train,Podoviridae,0.001
MG757166,NZ_CP029604,1,train,Podoviridae,0.001
MG099949,CP027541,1,train,Siphoviridae,0.001
MF668275,CP032410,0,train,Myoviridae,0.001
MH001459,CP014013,0,train,Myoviridae,0.001
MG872843,CP027541,1,train,Podoviridae,0.001
NC_031940,CP027541,0,train,Siphoviridae,0.001
KU160657,NREQ02000002,0,train,Myoviridae,0.001
NC_023498,CP027541,1,train,Podoviridae,0.001
KU695582,CP022674,0,train,Myoviridae,0.001
NC_031029,NZ_CP029604,1,train,Myoviridae,0.001
NC_011021,CP032410,0,train,Podoviridae,0.001
JX307702,CP027541,1,train,Siphoviridae,0.001
MH045558,CP022426,0,train,Podoviridae,0.001
NC_004685,CP020809,1,train,Podoviridae,0.001
MK279845,LC361338,1,train,Siphoviridae,0.001
MF541403,CP029760,0,train,Siphoviridae,0.001
MH834613,CP027541,1,train,Myoviridae,0.001
MH316562,CP027541,1,train,Siphoviridae,0.001
MH576948,NZ_QTTZ01000001,0,train,Myoviridae,0.001
NC_028852,CP027541,1,train,Podoviridae,0.001
NC_015297,CP025430,0,train,Siphoviridae,0.001
MH001452,CP027541,1,train,Myoviridae,0.001
NC_008199,CP020809,1,train,Siphoviridae,0.001
MK112540,AP014565,0,train,Siphoviridae,0.001
MH045557,CP031023,0,train,Myoviridae,0.001
NC_028700,CP033337,1,train,Siphoviridae,0.001
NC_021801,NZ_LK391965,0,train,Podoviridae,0.001
NC_028674,NZ_ALPT02000001,0,train,Myoviridae,0.001
MH153813,CP019892,1,train,Myoviridae,0.001
KT381276,CP027541,1,train,Myoviridae,0.001
KR080201,NZ_AGBZ02000001,0,train,Myoviridae,0.001
JF937107,CP027541,1,train,Myoviridae,0.001
NC_029316,NZ_AGBZ02000001,0,train,Podoviridae,0.001
MH727551,CP027541,1,train,Siphoviridae,0.001
JX042578,CP012831,0,train,Podoviridae,0.001
NC_027329,CP030026,1,train,Podoviridae,0.001
MH077577,CP027541,1,train,Podoviridae,0.001
NC_013643,NZ_UGJA01000003,1,train,Podoviridae,0.001
NC_014458,CP027541,1,train,Myoviridae,0.001
MF919541,NZ_ADEZ01000001,0,train,Podoviridae,0.001
MH669011,CP019668,0,train,Myoviridae,0.001
MH576974,CP029620,0,train,Myoviridae,0.001
